Unnamed: 0,passage,question,question_type,input_lang,target
5043,Daniel travelled to the garden. Mary went to the kitchen. John travelled to the bedroom. Daniel journeyed to the hallway. Mary moved to the bathroom. John travelled to the garden. Sandra went back to the hallway. Mary travelled to the bedroom.,Where is Mary?,qa1,en,bedroom
5044,Daniel went back to the kitchen. Daniel moved to the office. Daniel went back to the bedroom. John moved to the garden. Daniel travelled to the office. Mary journeyed to the garden.,Where is Daniel?,qa1,en,office
5045,Sandra moved to the garden. John went to the bedroom. John moved to the bathroom. John went to the garden. John journeyed to the bedroom. Sandra went to the office. Sandra went to the bathroom. Sandra moved to the kitchen. Sandra went to the bedroom. Sandra went to the office.,Where is Sandra?,qa1,en,office
5046,Mary travelled to the hallway. Daniel journeyed to the bedroom. John went back to the garden. Sandra journeyed to the bathroom. John went to the kitchen. Sandra journeyed to the garden. Sandra moved to the hallway. John went back to the garden. Sandra went to the bathroom. Mary went to the office.,Where is Sandra?,qa1,en,bathroom
5047,John travelled to the kitchen. Sandra moved to the bathroom. Daniel moved to the kitchen. Sandra moved to the kitchen. Daniel went to the hallway. John went to the office. Sandra went back to the garden. Sandra went to the bedroom. John went to the bedroom. John journeyed to the bathroom.,Where is Sandra?,qa1,en,bedroom
5048,John went to the office. Sandra went to the kitchen. John went back to the kitchen. Mary moved to the garden. Mary went to the kitchen. Sandra moved to the bedroom. Sandra moved to the hallway. John went back to the hallway. Sandra travelled to the bedroom. Daniel moved to the office.,Where is Daniel?,qa1,en,office
5049,Sandra went back to the bedroom. John moved to the garden.,Where is Sandra?,qa1,en,bedroom
5050,Sandra went back to the bedroom. John moved to the garden. Daniel journeyed to the hallway. Sandra travelled to the hallway.,Where is Daniel?,qa1,en,hallway
5051,Daniel travelled to the garden. Sandra journeyed to the bedroom. Daniel journeyed to the office. Daniel travelled to the bathroom.,Where is Sandra?,qa1,en,bedroom
5052,Mary journeyed to the kitchen. Sandra went back to the garden. Daniel moved to the kitchen. Daniel travelled to the bedroom. Mary moved to the garden. Mary travelled to the bathroom. Daniel went to the office. Sandra went to the bedroom. Mary moved to the kitchen. John went back to the office.,Where is John?,qa1,en,office
5053,Sandra went back to the bedroom. Mary moved to the kitchen. Mary moved to the office. Daniel travelled to the office. Daniel travelled to the hallway. John went back to the hallway. Mary moved to the bathroom. Sandra journeyed to the hallway. John went to the garden. Daniel travelled to the kitchen.,Where is John?,qa1,en,garden
5054,John went to the kitchen. Daniel travelled to the kitchen.,Where is Daniel?,qa1,en,kitchen
5055,Sandra went to the kitchen. Mary went to the hallway. John journeyed to the office. Daniel went back to the office. Daniel went back to the kitchen. Daniel travelled to the garden. John travelled to the hallway. John went back to the office. Mary went to the bedroom. Mary travelled to the hallway.,Where is Mary?,qa1,en,hallway
5056,John moved to the kitchen. Sandra travelled to the garden. Sandra went back to the bathroom. Sandra went back to the bedroom. Sandra journeyed to the office. Sandra travelled to the hallway. Daniel went back to the hallway. Daniel went to the garden.,Where is Sandra?,qa1,en,hallway
5057,Sandra moved to the office. John went back to the garden. Mary went to the office. Daniel travelled to the bedroom. Sandra travelled to the garden. Daniel travelled to the hallway. John travelled to the bedroom. John went to the hallway.,Where is John?,qa1,en,hallway
5058,Mary travelled to the bathroom. Sandra journeyed to the hallway. Mary went to the kitchen. Daniel moved to the office. Daniel journeyed to the bedroom. Mary travelled to the bedroom. Sandra moved to the office. Sandra went back to the bathroom. John went back to the bathroom. John moved to the office.,Where is Mary?,qa1,en,bedroom
5059,John journeyed to the garden. John travelled to the bathroom. Daniel went back to the garden. Daniel journeyed to the kitchen. Sandra travelled to the kitchen. Sandra moved to the hallway. Sandra travelled to the bedroom. John went back to the office.,Where is Sandra?,qa1,en,bedroom
5060,Daniel went back to the bedroom. Sandra went to the garden.,Where is Daniel?,qa1,en,bedroom
5061,Daniel went back to the bedroom. Sandra went to the garden. Sandra moved to the kitchen. John travelled to the hallway. Daniel moved to the kitchen. John journeyed to the kitchen.,Where is Sandra?,qa1,en,kitchen
5062,John travelled to the hallway. John travelled to the bathroom. Sandra moved to the kitchen. John journeyed to the bedroom. Daniel journeyed to the hallway. John journeyed to the bathroom. Daniel moved to the bedroom. Mary went to the bathroom.,Where is Daniel?,qa1,en,bedroom
5063,Sandra went back to the bathroom. Sandra journeyed to the office. Mary travelled to the hallway. Daniel went to the office. Mary journeyed to the garden. John travelled to the office. Sandra moved to the kitchen. John moved to the garden.,Where is John?,qa1,en,garden
5064,Mary went to the bathroom. Sandra went back to the bathroom.,Where is Sandra?,qa1,en,bathroom
5065,Sandra went back to the bedroom. Mary journeyed to the garden. John journeyed to the kitchen. Sandra went to the office. John moved to the hallway. Sandra went back to the garden. John went back to the kitchen. Daniel journeyed to the bedroom.,Where is Sandra?,qa1,en,garden
5066,Daniel went back to the office. Sandra moved to the bathroom.,Where is Daniel?,qa1,en,office
5067,John journeyed to the garden. John travelled to the bathroom. Mary moved to the kitchen. Mary went back to the bedroom. John went to the hallway. John went to the kitchen.,Where is Mary?,qa1,en,bedroom
5068,John went to the garden. Sandra travelled to the garden. John travelled to the bedroom. John travelled to the office.,Where is Sandra?,qa1,en,garden
5069,John went to the garden. Sandra travelled to the garden. John travelled to the bedroom. John travelled to the office. John went back to the kitchen. Mary travelled to the hallway. Daniel travelled to the hallway. John travelled to the garden. Daniel journeyed to the office. Sandra went to the bathroom.,Where is Sandra?,qa1,en,bathroom
5070,Daniel journeyed to the garden. John moved to the garden. Sandra moved to the bedroom. John went back to the office. John went back to the bedroom. Daniel went back to the bedroom. John went to the office. Sandra went to the garden.,Where is John?,qa1,en,office
5071,Daniel went to the garden. Daniel journeyed to the bathroom. Mary journeyed to the garden. Sandra went back to the garden. Mary went back to the bedroom. Daniel went back to the kitchen.,Where is Daniel?,qa1,en,kitchen
5072,Daniel went back to the office. John went to the bedroom.,Where is John?,qa1,en,bedroom
5073,Sandra journeyed to the hallway. John went back to the garden. Daniel journeyed to the office. Mary journeyed to the bathroom. John went to the kitchen. Mary journeyed to the office.,Where is Daniel?,qa1,en,office
5074,Sandra travelled to the bedroom. Sandra journeyed to the garden. Sandra moved to the hallway. Sandra travelled to the bathroom. Mary went to the bathroom. John moved to the office.,Where is Sandra?,qa1,en,bathroom
5075,Mary moved to the hallway. Daniel travelled to the hallway. John went back to the hallway. John went to the office. John moved to the kitchen. John travelled to the bathroom. Sandra travelled to the garden. Sandra went to the bathroom. Daniel moved to the bathroom. John went to the office.,Where is John?,qa1,en,office
5076,John journeyed to the bedroom. Sandra journeyed to the garden. Daniel went back to the hallway. Mary went to the hallway. Daniel travelled to the kitchen. Daniel went to the office. Daniel travelled to the bedroom. Sandra went to the office.,Where is Mary?,qa1,en,hallway
5077,Sandra went to the garden. John travelled to the office. Sandra went back to the hallway. Mary went back to the office.,Where is John?,qa1,en,office
5078,John moved to the bathroom. John travelled to the garden. Sandra travelled to the hallway. Daniel moved to the kitchen. Sandra journeyed to the office. Mary moved to the bathroom. Daniel went back to the hallway. Mary journeyed to the kitchen.,Where is Sandra?,qa1,en,office
5079,Daniel journeyed to the bedroom. Sandra went back to the office. Daniel travelled to the garden. John went back to the bathroom.,Where is John?,qa1,en,bathroom
5080,Daniel journeyed to the bedroom. Sandra went back to the office. Daniel travelled to the garden. John went back to the bathroom. Mary travelled to the kitchen. John went to the hallway.,Where is John?,qa1,en,hallway
5081,Sandra went to the bedroom. Sandra travelled to the office. Daniel went back to the garden. Mary travelled to the bedroom. John journeyed to the garden. Daniel went back to the hallway. Mary went back to the garden. Mary journeyed to the bedroom. Sandra went back to the kitchen. Sandra went to the garden.,Where is Daniel?,qa1,en,hallway
5082,Sandra went back to the office. John moved to the bathroom. Sandra journeyed to the bedroom. Mary journeyed to the bathroom. John journeyed to the bedroom. Daniel moved to the office. Mary went to the garden. Daniel moved to the garden. Daniel travelled to the hallway. Mary journeyed to the kitchen.,Where is Daniel?,qa1,en,hallway
5083,Sandra travelled to the kitchen. Daniel travelled to the bathroom. John went to the hallway. Sandra journeyed to the bedroom.,Where is Daniel?,qa1,en,bathroom
5084,Mary went to the garden. Daniel journeyed to the kitchen. John moved to the kitchen. John travelled to the bathroom.,Where is John?,qa1,en,bathroom
5085,Sandra went to the hallway. Daniel moved to the garden. Daniel went back to the bathroom. Mary went to the bedroom.,Where is Daniel?,qa1,en,bathroom
5086,Mary journeyed to the garden. John went back to the garden.,Where is John?,qa1,en,garden
5087,Mary journeyed to the garden. John went back to the garden. Mary moved to the office. John moved to the bedroom.,Where is John?,qa1,en,bedroom
5088,Daniel went to the bedroom. Daniel journeyed to the office. Daniel travelled to the bathroom. Mary went to the office.,Where is Mary?,qa1,en,office
5089,Mary went to the garden. Sandra journeyed to the garden. Mary journeyed to the bathroom. Daniel went to the office.,Where is Sandra?,qa1,en,garden
5090,Sandra went to the bedroom. John travelled to the office. John travelled to the bedroom. Sandra went back to the kitchen. Sandra went back to the garden. John went back to the office. Daniel went to the hallway. Daniel went to the bathroom. Daniel travelled to the kitchen. Daniel travelled to the garden.,Where is John?,qa1,en,office
5091,Daniel journeyed to the bedroom. Sandra journeyed to the kitchen. Daniel went to the bathroom. Daniel went to the hallway. Daniel travelled to the bathroom. Sandra went to the garden. Mary moved to the bathroom. Daniel travelled to the bedroom.,Where is Daniel?,qa1,en,bedroom
5092,Mary went to the bedroom. John moved to the bathroom. Sandra went back to the office. John travelled to the garden. Sandra journeyed to the kitchen. John journeyed to the hallway.,Where is John?,qa1,en,hallway
5093,John went back to the bedroom. John journeyed to the garden. Daniel journeyed to the bathroom. Sandra went back to the kitchen. Daniel travelled to the kitchen. Sandra went to the hallway.,Where is Daniel?,qa1,en,kitchen
5094,John journeyed to the garden. John went back to the bedroom. Daniel went back to the office. Daniel went to the bedroom.,Where is Daniel?,qa1,en,bedroom
5095,Sandra moved to the kitchen. John travelled to the office. Sandra went back to the garden. John went to the garden. Daniel travelled to the garden. Sandra moved to the hallway.,Where is Sandra?,qa1,en,hallway
5096,Sandra went back to the bathroom. Sandra travelled to the garden.,Where is Sandra?,qa1,en,garden
5097,John went back to the kitchen. John journeyed to the bedroom.,Where is John?,qa1,en,bedroom
5098,Daniel journeyed to the bedroom. Sandra journeyed to the bathroom. John went to the office. Sandra moved to the bedroom.,Where is John?,qa1,en,office
5099,Sandra travelled to the garden. John travelled to the kitchen. Mary went to the bathroom. Mary travelled to the bedroom.,Where is Sandra?,qa1,en,garden
5100,Mary journeyed to the bathroom. Sandra went to the garden. Daniel went back to the garden. Daniel went to the office. Sandra grabbed the milk there. Sandra put down the milk there. Daniel went to the hallway. Sandra got the milk there. Daniel went to the garden. Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Mary journeyed to the garden. Daniel took the football there. Mary moved to the office. Sandra travelled to the bedroom. Daniel dropped the football. Sandra left the milk there. Daniel grabbed the football there. Sandra grabbed the milk there. Daniel went to the kitchen.,Where is the football?,qa2,en,kitchen
5101,Daniel journeyed to the office. John took the football there. John discarded the football. John travelled to the garden. Daniel travelled to the garden. Sandra went to the garden. Daniel travelled to the kitchen. Daniel moved to the office. Mary grabbed the milk there. Daniel journeyed to the bedroom. John travelled to the office. Daniel travelled to the bathroom. John travelled to the kitchen. Mary travelled to the garden. Mary dropped the milk. John went back to the garden. Sandra got the milk there. Sandra put down the milk. Mary went back to the bathroom. Mary travelled to the bedroom.,Where is the milk?,qa2,en,garden
5102,Mary moved to the kitchen. Mary travelled to the office. Daniel grabbed the football there. Mary moved to the hallway. Sandra moved to the bedroom. Mary went back to the bedroom. John grabbed the milk there. John put down the milk. Daniel journeyed to the bathroom. Sandra journeyed to the bathroom. John got the milk there. Mary took the apple there. Mary left the apple. John journeyed to the bedroom.,Where is the apple?,qa2,en,bedroom
5103,Mary moved to the kitchen. Mary travelled to the office. Daniel grabbed the football there. Mary moved to the hallway. Sandra moved to the bedroom. Mary went back to the bedroom. John grabbed the milk there. John put down the milk. Daniel journeyed to the bathroom. Sandra journeyed to the bathroom. John got the milk there. Mary took the apple there. Mary left the apple. John journeyed to the bedroom. Mary travelled to the office. Daniel put down the football.,Where is the apple?,qa2,en,bedroom
5104,Daniel journeyed to the office. Daniel went back to the bedroom. Mary went back to the kitchen. Mary got the football there. Daniel travelled to the hallway. John journeyed to the bedroom. Daniel got the apple there. Sandra travelled to the garden. Daniel travelled to the garden. Daniel dropped the apple. Mary left the football. Mary journeyed to the bedroom. John moved to the hallway. John went back to the bedroom. Sandra got the apple there. John went to the kitchen. Mary went to the bathroom. Mary journeyed to the garden. Sandra went back to the kitchen. Sandra put down the apple there. Mary went back to the bedroom. Mary went back to the kitchen.,Where is the apple?,qa2,en,kitchen
5105,Daniel took the milk there. John journeyed to the garden. Daniel went back to the hallway. Daniel journeyed to the bathroom. Daniel dropped the milk. Daniel took the milk there. John grabbed the apple there. Sandra journeyed to the kitchen. John went to the hallway. Sandra went back to the garden.,Where is the apple?,qa2,en,hallway
5106,John went to the bathroom. Daniel travelled to the kitchen. John journeyed to the kitchen. Daniel journeyed to the hallway. Sandra travelled to the kitchen. Mary moved to the office. Daniel went back to the office. Sandra went back to the bathroom. John grabbed the milk there. John grabbed the apple there. Sandra journeyed to the office. Mary went to the hallway. John went to the bathroom. John discarded the apple. John put down the milk. John picked up the apple there. Daniel went back to the bathroom. John took the milk there. Daniel travelled to the garden. Sandra journeyed to the bathroom. John travelled to the kitchen. Mary went back to the office.,Where is the milk?,qa2,en,kitchen
5107,Daniel moved to the office. Daniel travelled to the bedroom. John took the milk there. John travelled to the garden.,Where is the milk?,qa2,en,garden
5108,Daniel journeyed to the hallway. Daniel journeyed to the garden. Mary went back to the kitchen. Daniel went back to the office. Mary journeyed to the bathroom. John moved to the hallway. Daniel grabbed the football there. Daniel went to the kitchen. Daniel discarded the football. John went to the bathroom. Daniel took the football there. John travelled to the kitchen. Mary travelled to the office. John travelled to the hallway. John went back to the office. Daniel journeyed to the bedroom. Daniel got the milk there. Daniel discarded the milk. Sandra went to the bathroom. Mary went back to the bedroom.,Where is the milk?,qa2,en,bedroom
5109,John went to the hallway. John went back to the bathroom. John grabbed the milk there. Sandra went back to the office. Sandra journeyed to the kitchen. Sandra got the apple there. Sandra dropped the apple there. John dropped the milk. Mary went back to the garden. Sandra journeyed to the hallway. Sandra got the football there. Mary moved to the kitchen.,Where is the milk?,qa2,en,bathroom
5110,Mary went to the garden. John picked up the milk there. Mary journeyed to the bedroom. Sandra went back to the hallway. John discarded the milk. John journeyed to the bedroom. John got the football there. John moved to the bathroom. Sandra went to the office. Daniel went back to the hallway. John put down the football. Mary journeyed to the kitchen. Mary picked up the milk there. Mary moved to the hallway.,Where is the football?,qa2,en,bathroom
5111,Sandra took the football there. Mary travelled to the kitchen. John went to the office. Daniel travelled to the bedroom. Daniel journeyed to the bathroom. Mary went back to the bedroom. Sandra travelled to the kitchen. Mary went to the bathroom. Sandra went back to the bathroom. Sandra discarded the football. Mary journeyed to the bedroom. Sandra picked up the football there. Mary grabbed the milk there. Mary discarded the milk.,Where is the milk?,qa2,en,bedroom
5112,Sandra took the football there. Mary travelled to the kitchen. John went to the office. Daniel travelled to the bedroom. Daniel journeyed to the bathroom. Mary went back to the bedroom. Sandra travelled to the kitchen. Mary went to the bathroom. Sandra went back to the bathroom. Sandra discarded the football. Mary journeyed to the bedroom. Sandra picked up the football there. Mary grabbed the milk there. Mary discarded the milk. Daniel moved to the bedroom. Mary picked up the milk there. Mary got the apple there. Sandra went back to the kitchen. Mary discarded the apple there. Daniel took the apple there. Mary put down the milk there. Daniel travelled to the bathroom. Mary journeyed to the hallway. Daniel went to the kitchen. Daniel went back to the bathroom. Daniel dropped the apple.,Where is the apple?,qa2,en,bathroom
5113,Daniel got the apple there. Daniel dropped the apple. Mary moved to the bedroom. Daniel journeyed to the hallway. Mary travelled to the hallway. Sandra moved to the bedroom. Mary went back to the bathroom. Daniel moved to the kitchen. Mary went to the kitchen. Daniel moved to the office. Mary picked up the football there. Mary put down the football. John travelled to the office. Daniel went to the bathroom. Mary got the football there. Mary discarded the football.,Where is the football?,qa2,en,kitchen
5114,Daniel travelled to the garden. Sandra went back to the bedroom. John travelled to the bedroom. Sandra grabbed the apple there. Daniel travelled to the kitchen. Sandra left the apple.,Where is the apple?,qa2,en,bedroom
5115,John moved to the bedroom. Sandra journeyed to the office. Sandra moved to the kitchen. Daniel travelled to the bedroom. John went back to the office. Mary travelled to the garden. Sandra moved to the hallway. Sandra went to the garden. John went back to the kitchen. Daniel went to the office. Sandra moved to the hallway. Daniel picked up the apple there. Mary went to the bedroom. Daniel went back to the garden. Daniel left the apple. Daniel grabbed the apple there. Sandra took the football there. Daniel discarded the apple. Mary journeyed to the kitchen. Sandra journeyed to the kitchen.,Where is the apple?,qa2,en,garden
5116,John moved to the bedroom. Sandra journeyed to the office. Sandra moved to the kitchen. Daniel travelled to the bedroom. John went back to the office. Mary travelled to the garden. Sandra moved to the hallway. Sandra went to the garden. John went back to the kitchen. Daniel went to the office. Sandra moved to the hallway. Daniel picked up the apple there. Mary went to the bedroom. Daniel went back to the garden. Daniel left the apple. Daniel grabbed the apple there. Sandra took the football there. Daniel discarded the apple. Mary journeyed to the kitchen. Sandra journeyed to the kitchen. Daniel travelled to the bedroom. Sandra went to the bedroom. Daniel went back to the hallway. John went to the hallway. John went to the office. John moved to the kitchen. Sandra dropped the football. Daniel went to the garden.,Where is the football?,qa2,en,bedroom
5117,John went back to the bedroom. John journeyed to the kitchen. John took the milk there. Sandra took the football there. Daniel travelled to the hallway. Daniel picked up the apple there. Mary travelled to the bedroom. Daniel journeyed to the bedroom.,Where is the apple?,qa2,en,bedroom
5118,Sandra took the milk there. Sandra journeyed to the garden.,Where is the milk?,qa2,en,garden
5119,Sandra took the milk there. Sandra journeyed to the garden. Sandra dropped the milk there. Sandra journeyed to the bathroom. John travelled to the garden. John went to the kitchen.,Where is the milk?,qa2,en,garden
5120,Sandra journeyed to the bathroom. Mary took the apple there. Sandra went back to the kitchen. Mary went back to the office. Sandra took the milk there. Mary discarded the apple.,Where is the apple?,qa2,en,office
5121,Mary travelled to the bedroom. Daniel grabbed the apple there. Daniel went to the garden. John travelled to the office. Daniel left the apple. John travelled to the hallway. Sandra went to the office. Daniel journeyed to the hallway. Daniel went to the kitchen. John journeyed to the kitchen. Mary moved to the office. Mary went back to the garden. Mary moved to the office. John went back to the bathroom. John travelled to the office. Daniel went back to the garden. John travelled to the kitchen. Mary went to the bedroom. Daniel moved to the bathroom. Daniel picked up the football there. Sandra travelled to the hallway. Daniel picked up the milk there. Daniel dropped the milk. Daniel took the milk there. Daniel moved to the bedroom. Sandra went to the garden. Sandra travelled to the kitchen. Sandra travelled to the office.,Where is the milk?,qa2,en,bedroom
5122,Mary moved to the hallway. Mary journeyed to the kitchen. Sandra moved to the office. Daniel journeyed to the office. Mary travelled to the bedroom. Mary went back to the garden. Sandra moved to the kitchen. Daniel went back to the bedroom. Mary went to the office. Mary moved to the garden. John moved to the hallway. John travelled to the bedroom. John moved to the office. Daniel journeyed to the bathroom. Sandra picked up the milk there. Sandra moved to the office. John travelled to the bedroom. John travelled to the bathroom. Sandra went back to the garden. John went to the hallway. Sandra put down the milk. Mary picked up the milk there. John went back to the kitchen. John went to the garden. Mary put down the milk. Sandra picked up the milk there. Sandra went back to the hallway. John journeyed to the hallway. John moved to the bedroom. Sandra went back to the garden.,Where is the milk?,qa2,en,garden
5123,Sandra journeyed to the garden. Daniel got the football there. Mary went back to the kitchen. Sandra went back to the hallway. Daniel put down the football there. Daniel journeyed to the kitchen. Sandra moved to the garden. Mary went back to the office. Mary moved to the kitchen. John travelled to the bathroom. Mary moved to the office. Mary got the apple there. Daniel moved to the office. Daniel got the milk there. Mary went back to the garden. Daniel left the milk. John travelled to the office. Mary put down the apple. Daniel went to the bathroom. John got the milk there. John travelled to the bathroom. John dropped the milk there. Sandra picked up the apple there. Daniel moved to the office.,Where is the milk?,qa2,en,bathroom
5124,Daniel went to the office. Mary took the football there. Sandra journeyed to the garden. Sandra went to the bedroom. John took the apple there. John put down the apple. Mary put down the football. John took the apple there. Mary went back to the bedroom. John put down the apple. Mary journeyed to the kitchen. Daniel moved to the garden. Sandra moved to the kitchen. Daniel picked up the milk there. John went to the hallway. John journeyed to the bedroom. Sandra picked up the apple there. Mary travelled to the bedroom. Mary went back to the bathroom. Sandra journeyed to the office. John went back to the kitchen. John moved to the garden. Sandra left the apple. Sandra took the apple there. Sandra put down the apple. John went back to the bathroom. Sandra travelled to the garden. Daniel went to the bathroom.,Where is the apple?,qa2,en,office
